"Ratio,O/F","pc,Pa",Nozzleinl,Nozzleexi,"rho,kg/m^","Tc,K",M,gamma,k,"c*,m/s","Isopt,s","Isvac,s",Cfopt,Cfvac,c.factor,_1
1,101325,0,1,0,989.3519,18.3281,1.2144,1.1469,1051.8974,nan,0,0,0,1,
1,201325,0,1,0,1022.2532,18.5916,1.2251,1.1488,1060.9062,79.0714,134.2432,0.7309,1.2409,1,
1,301325,0,1,0,1042.8847,18.7641,1.2312,1.1499,1066.1952,98.9276,141.3612,0.9099,1.3002,1,
1,401325,0,1,0,1058.1451,18.8952,1.2355,1.1506,1069.9414,110.6309,147.5597,1.014,1.3525,1,
1,501325,0,1,0,1070.3369,19.0021,1.2387,1.1512,1072.8382,118.7849,152.4628,1.0858,1.3936,1,
1,601325,0,1,0,1080.5277,19.0927,1.2412,1.1516,1075.1967,124.9707,156.4355,1.1398,1.4268,1,
1,701325,0,1,0,1089.3039,19.1719,1.2433,1.1519,1077.1832,129.9154,159.7446,1.1827,1.4543,1,
1,801325,0,1,0,1097.024,19.2422,1.245,1.1522,1078.8973,134.0112,162.5649,1.2181,1.4776,1,
1,901325,0,1,0,1103.9238,19.3057,1.2465,1.1525,1080.4035,137.4924,165.0133,1.248,1.4978,1,
1,1001325,0,1,0,1110.167,19.3636,1.2477,1.1527,1081.7457,140.5098,167.1706,1.2738,1.5155,1,
1,1101325,0,1,0,1115.8721,19.417,1.2488,1.1528,1082.9553,143.1657,169.0947,1.2964,1.5312,1,
1,1201325,0,1,0,1121.1278,19.4665,1.2498,1.153,1084.0556,145.5326,170.8281,1.3165,1.5454,1,
1,1301325,0,1,0,1126.0021,19.5127,1.2507,1.1531,1085.0641,147.6636,172.4031,1.3346,1.5582,1,
1,1401325,0,1,0,1130.5486,19.556,1.2515,1.1532,1085.9946,149.5986,173.8445,1.3509,1.5698,1,
1,1501325,0,1,0,1134.8101,19.5968,1.2521,1.1533,1086.8579,151.3686,175.1719,1.3658,1.5806,1,
1,1601325,0,1,0,1138.8214,19.6355,1.2528,1.1534,1087.6628,152.9977,176.401,1.3795,1.5905,1,
1,1701325,0,1,0,1142.6112,19.6721,1.2533,1.1535,1088.4163,154.5053,177.5445,1.3921,1.5997,1,
1,1801325,0,1,0,1146.2036,19.7071,1.2539,1.1536,1089.1246,155.9072,178.6128,1.4038,1.6083,1,
1,1901325,0,1,0,1149.6186,19.7404,1.2543,1.1536,1089.7924,157.2163,179.6146,1.4147,1.6163,1,
1,2001325,0,1,0,1152.8737,19.7723,1.2548,1.1537,1090.424,158.4434,180.5573,1.4249,1.6238,1,
1,2101325,0,1,0,1155.9835,19.8029,1.2552,1.1537,1091.023,159.5974,181.447,1.4345,1.6309,1,
1,2201325,0,1,0,1158.961,19.8323,1.2555,1.1538,1091.5924,160.6860,182.289,1.4436,1.6376,1,
1,2301325,0,1,0,1161.8171,19.8606,1.2559,1.1538,1092.135,161.7158,183.0878,1.4521,1.644,1,
1,2401325,0,1,0,1164.5618,19.8879,1.2562,1.1539,1092.6529,162.6923,183.8474,1.4602,1.65,1,
1,2501325,0,1,0,1167.2036,19.9142,1.2565,1.1539,1093.1484,163.6205,184.5713,1.4678,1.6558,1,
1,2601325,0,1,0,1169.7503,19.9397,1.2568,1.1539,1093.6231,164.5046,185.2624,1.4751,1.6613,1,
1,2701325,0,1,0,1172.2086,19.9644,1.257,1.1539,1094.0787,165.3484,185.9234,1.4821,1.6665,1,
1,2801325,0,1,0,1174.5846,19.9883,1.2573,1.154,1094.5165,166.1550,186.5566,1.4887,1.6715,1,
1,2901325,0,1,0,1176.8838,20.0115,1.2575,1.154,1094.9379,166.9275,187.1642,1.4951,1.6763,1,
1,3001325,0,1,0,1179.1112,20.034,1.2577,1.154,1095.3439,167.6683,187.7481,1.5011,1.6809,1,
1,3101325,0,1,0,1181.2712,20.0559,1.2579,1.154,1095.7357,168.3799,188.3098,1.507,1.6853,1,
1,3201325,0,1,0,1183.368,20.0773,1.258,1.154,1096.1141,169.0643,188.8509,1.5126,1.6896,1,
1,3301325,0,1,0,1185.4051,20.098,1.2582,1.154,1096.4799,169.7233,189.3728,1.518,1.6937,1,
1,3401325,0,1,0,1187.386,20.1183,1.2584,1.154,1096.834,170.3587,189.8768,1.5232,1.6977,1,
1,3501325,0,1,0,1189.3138,20.138,1.2585,1.1541,1097.177,170.9719,190.3638,1.5282,1.7015,1,
1,3601325,0,1,0,1191.1913,20.1573,1.2587,1.1541,1097.5095,171.5644,190.835,1.533,1.7052,1,
1,3701325,0,1,0,1193.0211,20.1761,1.2588,1.1541,1097.8212,172.1375,191.2913,1.5377,1.7088,1,
1,3801325,0,1,0,1194.8057,20.1945,1.2589,1.1541,1098.1346,172.6922,191.7335,1.5422,1.7122,1,
1,3901325,0,1,0,1196.5474,20.2125,1.259,1.1541,1098.4393,173.2296,192.1625,1.5466,1.7156,1,
1,4001325,0,1,0,1198.248,20.2301,1.2591,1.1541,1098.7355,173.7507,192.5789,1.5508,1.7188,1,
1,4101325,0,1,0,1199.9097,20.2473,1.2592,1.1541,1099.0238,174.2564,192.9835,1.5549,1.722,1,
1,4201325,0,1,0,1201.5342,20.2642,1.2593,1.1541,1099.3046,174.7476,193.3768,1.5589,1.7251,1,
1,4301325,0,1,0,1203.1231,20.2807,1.2594,1.1541,1099.5782,175.2249,193.7594,1.5628,1.7281,1,
1,4401325,0,1,0,1204.678,20.2969,1.2595,1.154,1099.8449,175.6891,194.1318,1.5665,1.731,1,
1,4501325,0,1,0,1206.2004,20.3128,1.2595,1.154,1100.1051,176.1409,194.4946,1.5702,1.7338,1,
1,4601325,0,1,0,1207.6917,20.3284,1.2596,1.154,1100.359,176.5807,194.8481,1.5737,1.7365,1,
1,4701325,0,1,0,1209.153,20.3437,1.2597,1.154,1100.607,177.0093,195.1929,1.5772,1.7392,1,
1,4801325,0,1,0,1210.5856,20.3588,1.2597,1.154,1100.8493,177.4272,195.5293,1.5806,1.7418,1,
1,4901325,0,1,0,1211.9907,20.3736,1.2598,1.154,1101.0861,177.8347,195.8577,1.5839,1.7444,1,
1,5001325,0,1,0,1213.3693,20.3881,1.2598,1.154,1101.3177,178.2324,196.1784,1.5871,1.7469,1,
1,5101325,0,1,0,1214.7223,20.4024,1.2599,1.154,1101.5442,178.6208,196.4918,1.5902,1.7493,1,
1,5201325,0,1,0,1216.0508,20.4164,1.2599,1.154,1101.7659,179.0002,196.7982,1.5933,1.7517,1,
1,5301325,0,1,0,1217.3557,20.4302,1.26,1.154,1101.983,179.3709,197.0978,1.5962,1.754,1,
1,5401325,0,1,0,1218.6377,20.4438,1.26,1.154,1102.1956,179.7334,197.3909,1.5992,1.7563,1,
1,5501325,0,1,0,1219.8977,20.4571,1.26,1.154,1102.4039,180.0880,197.6778,1.602,1.7585,1,
1,5601325,0,1,0,1221.1364,20.4703,1.2601,1.1539,1102.6081,180.4350,197.9588,1.6048,1.7607,1,
1,5701325,0,1,0,1222.3546,20.4833,1.2601,1.1539,1102.8083,180.7747,198.234,1.6075,1.7628,1,
1,5801325,0,1,0,1223.5529,20.496,1.2601,1.1539,1103.0047,181.1074,198.5037,1.6102,1.7649,1,
1,5901325,0,1,0,1224.732,20.5086,1.2601,1.1539,1103.1974,181.4333,198.7681,1.6128,1.7669,1,
1,6001325,0,1,0,1225.8925,20.521,1.2602,1.1539,1103.3865,181.7527,199.0273,1.6154,1.7689,1,
1,6101325,0,1,0,1227.035,20.5332,1.2602,1.1539,1103.5721,182.0658,199.2816,1.6179,1.7709,1,
1,6201325,0,1,0,1228.1601,20.5453,1.2602,1.1539,1103.7544,182.3729,199.5311,1.6203,1.7728,1,
1,6301325,0,1,0,1229.2682,20.5572,1.2602,1.1538,1103.9335,182.6741,199.776,1.6228,1.7747,1,
1,6401325,0,1,0,1230.3599,20.5689,1.2602,1.1538,1104.1095,182.9697,200.0164,1.6251,1.7765,1,
1,6501325,0,1,0,1231.4357,20.5805,1.2602,1.1538,1104.2824,183.2599,200.2526,1.6275,1.7784,1,
1,6601325,0,1,0,1232.4961,20.5919,1.2602,1.1538,1104.4524,183.5448,200.4846,1.6297,1.7801,1,
1,6701325,0,1,0,1233.5414,20.6032,1.2602,1.1538,1104.6196,183.8247,200.7125,1.632,1.7819,1,
1,6801325,0,1,0,1234.5722,20.6143,1.2603,1.1538,1104.784,184.0996,200.9365,1.6342,1.7836,1,
1,6901325,0,1,0,1235.5887,20.6253,1.2603,1.1538,1104.9458,184.3697,201.1568,1.6363,1.7853,1,
1,7001325,0,1,0,1236.5915,20.6361,1.2603,1.1537,1105.105,184.6353,201.3734,1.6384,1.787,1,
1,7101325,0,1,0,1237.5809,20.6468,1.2603,1.1537,1105.2616,184.8964,201.5865,1.6405,1.7886,1,
1,7201325,0,1,0,1238.5572,20.6574,1.2603,1.1537,1105.4158,185.1531,201.7961,1.6426,1.7902,1,
1,7301325,0,1,0,1239.5208,20.6679,1.2602,1.1537,1105.5677,185.4057,202.0024,1.6446,1.7918,1,
1,7401325,0,1,0,1240.472,20.6782,1.2602,1.1537,1105.7172,185.6542,202.2054,1.6466,1.7934,1,
1,7501325,0,1,0,1241.4111,20.6884,1.2602,1.1537,1105.8646,185.8988,202.4053,1.6485,1.7949,1,
1,7601325,0,1,0,1242.3386,20.6985,1.2602,1.1536,1106.0097,186.1395,202.6021,1.6504,1.7964,1,
1,7701325,0,1,0,1243.2545,20.7085,1.2602,1.1536,1106.1527,186.3765,202.796,1.6523,1.7979,1,
